epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4819,1.70657,2.28992,1.76619,0.13549,0.17563,0.04189,0.02352,2.12152,16.9343,2.83155,0.0702326,0.00330749,0.00330749
2,38.4536,1.70378,1.93644,1.80491,0.38794,0.43513,0.36351,0.18599,1.77687,2.36005,2.08086,0.0401668,0.00657508,0.00657508
3,56.7511,1.58451,1.74893,1.72202,0.50052,0.37048,0.39208,0.20407,1.71031,2.86445,2.01221,0.0100351,0.00977667,0.00977667
4,74.9782,1.54079,1.64784,1.70202,0.67596,0.48467,0.57707,0.30951,1.59544,1.72583,1.87794,0.009703,0.009703,0.009703
5,93.1845,1.4935,1.58404,1.66932,0.69839,0.50296,0.61659,0.36487,1.51166,1.48816,1.76007,0.009604,0.009604,0.009604
6,111.373,1.46541,1.49066,1.63348,0.63951,0.63186,0.65187,0.37299,1.4748,1.36339,1.75155,0.009505,0.009505,0.009505
7,129.702,1.43164,1.44109,1.61124,0.54121,0.67796,0.66923,0.40114,1.44103,1.32615,1.68287,0.009406,0.009406,0.009406
8,147.858,1.40723,1.39251,1.59216,0.56947,0.70797,0.72128,0.44612,1.40519,1.22842,1.6586,0.009307,0.009307,0.009307
9,166.327,1.37486,1.32786,1.56192,0.61756,0.63002,0.68856,0.41673,1.47673,1.29145,1.71592,0.009208,0.009208,0.009208
10,184.644,1.37138,1.33709,1.57034,0.72195,0.65853,0.74382,0.45402,1.3958,1.1607,1.66889,0.009109,0.009109,0.009109
11,202.959,1.36094,1.29139,1.56194,0.63167,0.67201,0.73452,0.45032,1.39401,1.15725,1.64273,0.00901,0.00901,0.00901
12,221.363,1.33705,1.24434,1.5423,0.65961,0.71344,0.7358,0.46196,1.33674,1.1206,1.57487,0.008911,0.008911,0.008911
13,239.77,1.31623,1.24988,1.52306,0.78872,0.61684,0.73566,0.46075,1.35366,1.16236,1.60192,0.008812,0.008812,0.008812
14,258.108,1.28749,1.20906,1.49926,0.68469,0.71135,0.77077,0.49465,1.31635,1.0415,1.60515,0.008713,0.008713,0.008713
15,276.514,1.28773,1.19316,1.506,0.69568,0.66478,0.74464,0.47837,1.32313,1.10018,1.58682,0.008614,0.008614,0.008614
16,294.78,1.27049,1.17461,1.48201,0.85343,0.61091,0.75608,0.49127,1.3114,1.04817,1.61076,0.008515,0.008515,0.008515
17,313.041,1.27479,1.13449,1.49385,0.80667,0.66748,0.76034,0.49099,1.32731,1.00199,1.61994,0.008416,0.008416,0.008416
18,331.366,1.25866,1.12025,1.46702,0.72922,0.72118,0.76515,0.49328,1.28896,0.98635,1.58392,0.008317,0.008317,0.008317
19,349.64,1.26107,1.1198,1.47404,0.7432,0.77564,0.8064,0.52425,1.26785,0.94092,1.56017,0.008218,0.008218,0.008218
20,367.869,1.23225,1.07213,1.45033,0.68965,0.76568,0.79069,0.50839,1.29269,0.99094,1.59324,0.008119,0.008119,0.008119
21,386.162,1.24024,1.10119,1.46133,0.82657,0.69953,0.80934,0.52444,1.29941,0.92727,1.573,0.00802,0.00802,0.00802
22,404.47,1.21608,1.05756,1.448,0.70887,0.75293,0.80408,0.53674,1.25861,0.88795,1.54826,0.007921,0.007921,0.007921
23,423.005,1.2059,1.03625,1.43559,0.60963,0.80387,0.78302,0.51561,1.27239,0.95755,1.56427,0.007822,0.007822,0.007822
24,441.267,1.21077,1.03595,1.44071,0.8446,0.68954,0.80319,0.52462,1.29881,0.93664,1.57489,0.007723,0.007723,0.007723
25,459.407,1.19666,1.01694,1.4349,0.70269,0.7146,0.7888,0.52091,1.28381,0.89011,1.56571,0.007624,0.007624,0.007624
26,477.608,1.19752,1.01862,1.43187,0.84864,0.72585,0.80445,0.5383,1.24426,0.86599,1.53009,0.007525,0.007525,0.007525
27,495.84,1.16687,0.9846,1.40632,0.691,0.80491,0.82807,0.54844,1.26435,0.87653,1.56198,0.007426,0.007426,0.007426
28,514.048,1.16614,0.97939,1.40737,0.70337,0.78558,0.80132,0.51327,1.27251,0.93495,1.56571,0.007327,0.007327,0.007327
29,532.304,1.16658,0.96027,1.40666,0.68869,0.80095,0.78543,0.51995,1.24084,0.89452,1.52086,0.007228,0.007228,0.007228
30,550.44,1.14825,0.95093,1.3945,0.7284,0.75242,0.81449,0.5446,1.23944,0.8848,1.53855,0.007129,0.007129,0.007129
31,568.608,1.15307,0.95029,1.39387,0.74499,0.75289,0.80759,0.54331,1.24672,0.89691,1.52659,0.00703,0.00703,0.00703
32,586.715,1.13807,0.93761,1.38479,0.82631,0.76704,0.82264,0.5447,1.20991,0.85695,1.52575,0.006931,0.006931,0.006931
33,604.774,1.14892,0.93281,1.38829,0.81268,0.72546,0.79981,0.54481,1.23256,0.86322,1.52339,0.006832,0.006832,0.006832
