epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.56,1.65383,2.35406,1.69768,0.18515,0.35484,0.13364,0.04819,2.06024,4.56667,2.43052,0.0702326,0.00330749,0.00330749
2,20.2133,1.66804,1.87227,1.7358,0.33327,0.29988,0.23739,0.11535,1.86829,3.25906,2.17284,0.0401668,0.00657508,0.00657508
3,29.7173,1.60967,1.73826,1.69913,0.53584,0.495,0.47405,0.2415,1.64241,2.0079,1.82624,0.0100351,0.00977667,0.00977667
4,39.3815,1.54256,1.6349,1.65218,0.58828,0.55557,0.57664,0.30547,1.54029,1.66736,1.76141,0.009703,0.009703,0.009703
5,48.925,1.49324,1.5603,1.61591,0.61795,0.52671,0.5762,0.31106,1.5965,1.59043,1.80426,0.009604,0.009604,0.009604
6,58.3263,1.45426,1.45226,1.57502,0.59596,0.63722,0.63623,0.38192,1.47748,1.35575,1.67088,0.009505,0.009505,0.009505
7,67.7599,1.43957,1.43067,1.56762,0.65799,0.64323,0.71965,0.41091,1.49612,1.26082,1.66366,0.009406,0.009406,0.009406
8,77.0772,1.41918,1.3822,1.54917,0.52563,0.75086,0.71639,0.41604,1.46357,1.23997,1.63673,0.009307,0.009307,0.009307
9,86.5467,1.37515,1.32534,1.5068,0.58159,0.67597,0.70203,0.40402,1.48852,1.32214,1.69456,0.009208,0.009208,0.009208
10,96.0003,1.37648,1.33266,1.51551,0.61014,0.72536,0.7162,0.42573,1.40234,1.16728,1.60761,0.009109,0.009109,0.009109
11,105.388,1.36872,1.29801,1.51301,0.71339,0.71035,0.75779,0.45575,1.40558,1.07882,1.59801,0.00901,0.00901,0.00901
12,114.969,1.35319,1.26319,1.49728,0.59253,0.72086,0.73421,0.45323,1.38362,1.14917,1.57066,0.008911,0.008911,0.008911
13,124.34,1.33004,1.25367,1.47725,0.59404,0.77291,0.75091,0.47155,1.33649,1.09885,1.56433,0.008812,0.008812,0.008812
14,133.887,1.30079,1.20096,1.4583,0.74244,0.67745,0.75643,0.46471,1.40197,1.1151,1.5908,0.008713,0.008713,0.008713
15,143.178,1.31498,1.20459,1.46453,0.68249,0.67848,0.72615,0.44823,1.36881,1.15873,1.57601,0.008614,0.008614,0.008614
16,152.461,1.29392,1.18962,1.44347,0.76908,0.66854,0.77453,0.48732,1.35261,1.06306,1.55209,0.008515,0.008515,0.008515
17,161.833,1.28918,1.15471,1.44831,0.65471,0.79168,0.77609,0.49018,1.34464,0.99156,1.55253,0.008416,0.008416,0.008416
18,171.227,1.269,1.12543,1.41815,0.77885,0.69153,0.78854,0.5163,1.31047,1.006,1.52136,0.008317,0.008317,0.008317
19,180.688,1.27246,1.13114,1.42646,0.63763,0.80106,0.77469,0.47937,1.35965,1.00242,1.57574,0.008218,0.008218,0.008218
20,190.271,1.24382,1.10473,1.4006,0.63748,0.82469,0.80724,0.51871,1.31796,0.9436,1.5263,0.008119,0.008119,0.008119
21,199.79,1.25116,1.10304,1.41131,0.76384,0.67943,0.77533,0.48343,1.36188,1.01034,1.55909,0.00802,0.00802,0.00802
22,209.172,1.23703,1.09596,1.40226,0.65627,0.75739,0.77162,0.49978,1.30493,0.96369,1.49278,0.007921,0.007921,0.007921
23,218.579,1.2271,1.06267,1.39556,0.76675,0.66424,0.78377,0.50574,1.30892,1.03478,1.52787,0.007822,0.007822,0.007822
24,227.975,1.23302,1.05795,1.39513,0.78567,0.69572,0.79417,0.50572,1.35729,0.98448,1.53341,0.007723,0.007723,0.007723
