filename,genre,tempo,mean_zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,chroma_stft,spectral_contrast,tonnetz,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
blues.00039.wav,blues,117.45383522727273,0.03532089858855375,1151.3104957885116,1709.532096967042,2312.1797282845127,0.08582264,0.2553486,26.357461993168638,0.019679124665307003,-301.70804,111.53328,21.896053,16.15057,8.19879,22.081917,-8.601798,1.482753,-17.077759,-8.343712,-17.01078,-10.576027,-15.687029
blues.00016.wav,blues,198.76802884615384,0.06134406117072699,1455.0726339659166,1826.0433384174999,3010.010388721723,0.081422575,0.30818358,21.055610626695103,0.011187655055121988,-233.77281,120.66434,-3.164092,39.514828,3.8315241,18.828156,-3.6787386,4.4254684,-14.964929,17.571478,1.8461251,2.5500886,-1.230239
blues.00011.wav,blues,161.4990234375,0.043930584759280744,1352.7427097237658,1756.8820971332516,2880.9110920279873,0.06570574,0.36588737,20.79772915934028,0.06629608795658494,-287.9319,124.010765,5.4674478,33.66307,1.0916541,14.703699,-4.8811417,8.668892,0.78433156,6.57608,-4.8758154,-3.1767612,-5.538258
blues.00027.wav,blues,92.28515625,0.07241441294470224,1392.026357292707,1494.8775639502583,2811.740048578886,0.09575479,0.28868246,23.022582339356834,0.016938760900472957,-228.20984,130.32317,-23.311424,70.20095,1.1310548,7.584427,0.9005107,1.9828155,-6.1644154,-9.382748,-2.56378,-4.5257525,-0.26046425
blues.00033.wav,blues,151.99908088235293,0.04197368341550657,1430.6028402421161,2075.7185500837736,3246.1678418648494,0.13316597,0.26077786,27.157653999674856,0.018697626027593582,-238.96988,108.68233,34.158817,30.20716,-0.49822143,27.279755,-21.377928,14.166391,-24.509224,-1.8904003,-28.051817,-11.25711,-16.457558
blues.00003.wav,blues,63.02400914634146,0.03330886262567672,1070.1534175250665,1596.422564453577,2184.8790286035382,0.14104027,0.40485436,21.423621107098153,0.034265145492278076,-199.57513,150.0861,5.663404,26.855282,1.7700716,14.232647,-4.8278456,9.286853,-0.75612015,8.134435,-3.200026,6.078081,-2.478445
blues.00010.wav,blues,161.4990234375,0.06295882576856149,1410.0234234402612,1512.3046546623298,2765.967419971723,0.14278811,0.30396983,21.087697406492897,0.026824883088792727,-173.81046,137.17355,-23.723028,26.979673,-16.675209,4.1947274,-12.571786,5.851667,-2.8769488,-1.1783822,-1.9682394,1.801179,-3.00695
blues.00035.wav,blues,129.19921875,0.04541997474381284,1507.1579850499309,2096.930874279644,3405.5518484447507,0.1732646,0.28827715,26.87460985527842,0.007406516777160491,-171.79478,120.28173,15.331755,21.094315,-5.3954434,24.185543,-24.130846,18.545135,-22.342924,1.3107386,-20.765268,-4.991692,-17.108126
blues.00030.wav,blues,151.99908088235293,0.039366118039443156,1379.0236797531359,2003.7311331314509,3015.6143507105567,0.17000204,0.26335758,26.842612191972552,0.03863510544495272,-206.93233,117.80414,23.241365,28.308992,-1.1260129,18.867393,-21.973022,17.844067,-25.595348,2.139523,-17.782476,-8.011028,-17.610441
blues.00009.wav,blues,80.74951171875,0.07917482356921887,1817.2305900912738,1973.7920387617455,3943.8319655416185,0.08128055,0.27396762,21.156619818456516,0.028891832909672635,-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.182699,9.017152,-14.104312,4.271254,-6.0507803,3.7858355,0.22263552
blues.00020.wav,blues,135.99917763157896,0.05258634232405259,1390.3828142454292,1911.218377821177,3006.1467358794953,0.07542555,0.30268323,20.070311047305943,0.021010257075269382,-230.36378,127.07773,7.114696,39.767056,1.9217218,17.410606,-5.626918,8.2406645,-18.116041,13.844725,-3.7571108,2.579849,-4.3167143
blues.00014.wav,blues,151.99908088235293,0.045036675850734724,1171.9674319304547,1705.3701299892873,2344.9874700913574,0.066998236,0.32889304,21.61981566174936,-0.020983885363663732,-305.66437,113.07102,12.107334,45.052197,17.734386,14.590071,4.147996,0.22631137,-7.021587,13.646477,8.91421,1.3037986,5.9549785
blues.00007.wav,blues,92.28515625,0.061442246108855375,1451.859413795751,1577.5671157628285,2955.3197165929523,0.13176751,0.30737153,22.435547295228528,-0.04463919065733189,-179.3723,136.44833,-26.662588,39.96545,5.3108945,10.919133,-20.559534,8.503361,-11.349764,-3.470555,-8.415843,-6.957211,-3.5460427
blues.00066.wav,blues,161.4990234375,0.12179161832946636,2340.7341614757443,2256.39176179421,4972.721052059164,0.11043558,0.37472305,22.518347414121653,0.021318674128600442,-116.60201,97.43107,-13.89173,48.96764,-22.596458,27.759014,-20.245163,18.638865,-14.6395855,8.482747,-16.644682,11.017631,-13.866875
