epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.04649,1.55084,3.37506,1.54176,0.39712,0.24558,0.10617,0.04658,1.93416,4.30661,2.52949,0.0856,0.0016,0.0016
2,13.0274,1.47598,1.92786,1.44253,0.06853,0.05526,0.02078,0.0082,2.65851,6.44584,5.33213,0.0702673,0.00326733,0.00326733
3,18.9875,1.47735,1.63476,1.44507,0.00654,0.3775,0.00833,0.00242,2.33291,inf,4.4255,0.054901,0.004901,0.004901
4,24.9275,1.48601,1.54493,1.45432,0.19156,0.02955,0.02206,0.01393,3.74759,inf,9.74266,0.039501,0.00650101,0.00650101
5,30.8705,1.45219,1.49355,1.42952,0.21508,0.16569,0.01492,0.00826,2.42023,23.7531,3.41879,0.0240674,0.00806736,0.00806736
6,36.8112,1.45147,1.46117,1.43007,0.1302,0.14841,0.04356,0.02099,2.59753,15.7136,3.57211,0.009505,0.009505,0.009505
7,42.7283,1.42951,1.43969,1.41026,0.1392,0.21624,0.07422,0.03136,2.41467,9.91357,3.44381,0.009406,0.009406,0.009406
8,48.6446,1.42318,1.38835,1.41031,0.43253,0.14162,0.11326,0.05178,2.13489,4.80115,2.76309,0.009307,0.009307,0.009307
9,54.5696,1.37904,1.34333,1.38792,0.17664,0.21534,0.13295,0.0771,1.94071,4.7395,2.24298,0.009208,0.009208,0.009208
10,60.4906,1.36411,1.31451,1.37563,0.32382,0.39886,0.32648,0.19096,1.76508,3.078,1.87413,0.009109,0.009109,0.009109
11,66.3805,1.33953,1.2681,1.3593,0.515,0.30876,0.33355,0.1873,2.01871,4.0348,2.05528,0.00901,0.00901,0.00901
12,72.3043,1.33794,1.24753,1.34994,0.70668,0.4193,0.51962,0.33171,1.60049,2.19728,1.69926,0.008911,0.008911,0.008911
13,78.2224,1.33399,1.23632,1.34782,0.64967,0.42943,0.57251,0.33861,1.62759,2.4325,1.84981,0.008812,0.008812,0.008812
14,84.1554,1.30748,1.19342,1.33008,0.70332,0.60395,0.69103,0.4167,1.50667,1.40188,1.57208,0.008713,0.008713,0.008713
15,90.0782,1.29754,1.18193,1.31947,0.62248,0.64858,0.66762,0.43063,1.40512,1.39271,1.49518,0.008614,0.008614,0.008614
16,96.0034,1.28435,1.16977,1.31926,0.72811,0.57713,0.6405,0.39601,1.44114,1.47457,1.56586,0.008515,0.008515,0.008515
17,101.916,1.27926,1.14394,1.31632,0.42682,0.60618,0.54439,0.32066,1.53697,1.70374,1.55612,0.008416,0.008416,0.008416
18,107.833,1.26771,1.12665,1.30713,0.77362,0.58879,0.70904,0.45187,1.41769,1.20008,1.49383,0.008317,0.008317,0.008317
19,113.73,1.246,1.10263,1.28599,0.71779,0.57009,0.66,0.41503,1.44584,1.25006,1.53521,0.008218,0.008218,0.008218
20,119.657,1.25175,1.09237,1.29588,0.84668,0.64184,0.76863,0.49777,1.31835,1.13167,1.40984,0.008119,0.008119,0.008119
21,125.569,1.24723,1.09783,1.29301,0.68171,0.60588,0.71061,0.46427,1.39704,1.17978,1.45823,0.00802,0.00802,0.00802
22,131.494,1.22642,1.06911,1.28387,0.69522,0.59772,0.67372,0.45317,1.37204,1.45291,1.4616,0.007921,0.007921,0.007921
23,137.419,1.24124,1.07238,1.28385,0.81492,0.66482,0.80425,0.51939,1.29593,1.08247,1.37989,0.007822,0.007822,0.007822
24,143.336,1.22689,1.05144,1.28199,0.82347,0.71682,0.81712,0.54916,1.24686,1.01196,1.33841,0.007723,0.007723,0.007723
25,149.265,1.20821,1.0327,1.27264,0.76074,0.68048,0.77076,0.50772,1.29406,1.01035,1.36349,0.007624,0.007624,0.007624
26,155.169,1.19597,1.01816,1.26638,0.6492,0.81018,0.77689,0.53995,1.25691,0.97123,1.35522,0.007525,0.007525,0.007525
27,161.093,1.20383,1.01434,1.25991,0.72195,0.67551,0.75852,0.50061,1.25004,1.11328,1.35386,0.007426,0.007426,0.007426
28,167.005,1.2019,1.00105,1.25662,0.64068,0.70667,0.778,0.48751,1.27878,1.18694,1.3576,0.007327,0.007327,0.007327
29,172.923,1.19867,0.99833,1.25931,0.63209,0.65433,0.76239,0.49259,1.29764,1.22402,1.39782,0.007228,0.007228,0.007228
30,178.833,1.17793,0.97311,1.24181,0.80047,0.78646,0.81866,0.57007,1.23712,0.90437,1.32914,0.007129,0.007129,0.007129
31,184.734,1.17957,0.98514,1.25044,0.75661,0.73596,0.81981,0.54926,1.2918,0.95849,1.36227,0.00703,0.00703,0.00703
32,190.662,1.18252,0.98607,1.25144,0.69551,0.64771,0.72064,0.46868,1.35449,1.16111,1.39777,0.006931,0.006931,0.006931
33,196.56,1.16121,0.96181,1.24371,0.66111,0.80788,0.81374,0.55304,1.21425,1.00806,1.32218,0.006832,0.006832,0.006832
34,202.47,1.15818,0.95525,1.23279,0.80808,0.76107,0.80888,0.54028,1.2461,0.86133,1.33961,0.006733,0.006733,0.006733
35,208.374,1.15955,0.94941,1.23865,0.6517,0.79621,0.7975,0.54851,1.20791,0.95808,1.29788,0.006634,0.006634,0.006634
36,214.277,1.15682,0.93763,1.23039,0.75928,0.73856,0.82063,0.55708,1.21035,0.87481,1.3245,0.006535,0.006535,0.006535
37,220.175,1.17418,0.9558,1.24259,0.77909,0.67333,0.78047,0.55254,1.21279,0.91897,1.30945,0.006436,0.006436,0.006436
38,226.085,1.15021,0.93551,1.22769,0.67506,0.72409,0.78252,0.53529,1.21093,0.89957,1.32544,0.006337,0.006337,0.006337
39,232.001,1.13747,0.92992,1.22107,0.71214,0.77128,0.81839,0.56923,1.17208,0.87715,1.29716,0.006238,0.006238,0.006238
