epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.468,1.80573,2.65338,1.89756,0.04712,0.28941,0.04672,0.01789,2.47622,19.205,3.93323,0.0702326,0.00330749,0.00330749
2,56.2813,1.71897,2.04973,1.86116,0.35142,0.12376,0.13216,0.05903,2.15589,5.25294,2.50812,0.0401668,0.00657508,0.00657508
3,83.907,1.61262,1.84576,1.79037,0.31522,0.30771,0.27521,0.14445,2.03148,4.12677,2.35509,0.0100351,0.00977667,0.00977667
4,111.323,1.56859,1.73109,1.75122,0.64507,0.5019,0.5562,0.30403,1.66879,1.7955,1.94408,0.009703,0.009703,0.009703
5,139.041,1.50563,1.6421,1.70672,0.48549,0.6039,0.57162,0.3247,1.53083,1.57636,1.8587,0.009604,0.009604,0.009604
6,166.495,1.45822,1.55145,1.66485,0.67599,0.57885,0.65475,0.37033,1.48221,1.47206,1.8419,0.009505,0.009505,0.009505
7,193.944,1.44143,1.49754,1.64297,0.52945,0.628,0.63396,0.3613,1.44682,1.52625,1.72418,0.009406,0.009406,0.009406
8,221.237,1.42344,1.46062,1.63604,0.59968,0.5606,0.65567,0.39896,1.4299,1.45578,1.75802,0.009307,0.009307,0.009307
9,248.641,1.39731,1.39097,1.60294,0.67102,0.63893,0.68497,0.40138,1.4639,1.30458,1.74985,0.009208,0.009208,0.009208
10,276.111,1.38579,1.39273,1.60951,0.66834,0.62835,0.69557,0.43377,1.36602,1.2815,1.68922,0.009109,0.009109,0.009109
11,303.549,1.3534,1.33783,1.5811,0.58956,0.69822,0.69836,0.43545,1.4017,1.20508,1.69299,0.00901,0.00901,0.00901
12,330.984,1.33397,1.29605,1.56951,0.64221,0.69577,0.69756,0.43204,1.41172,1.21923,1.69777,0.008911,0.008911,0.008911
13,358.346,1.33062,1.28873,1.57088,0.54434,0.72069,0.70664,0.43985,1.36258,1.21145,1.66734,0.008812,0.008812,0.008812
14,385.822,1.28978,1.24534,1.53242,0.61354,0.73947,0.75319,0.48992,1.31367,1.10146,1.65094,0.008713,0.008713,0.008713
15,413.214,1.2925,1.22272,1.53093,0.74095,0.67327,0.7474,0.46506,1.34254,1.13308,1.63729,0.008614,0.008614,0.008614
16,440.466,1.28602,1.21139,1.53147,0.64632,0.7333,0.76705,0.48104,1.32101,1.07213,1.64219,0.008515,0.008515,0.008515
