epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26982,1.58741,3.48485,1.56618,0.42472,0.24248,0.0405,0.01759,2.1108,5.60242,3.37712,0.0856,0.0016,0.0016
2,14.2241,1.48127,1.9764,1.44909,9e-05,0.075,8e-05,1e-05,3.31819,93.4894,8.53507,0.0702673,0.00326733,0.00326733
3,20.169,1.46976,1.64697,1.44853,0.00069,0.125,0.00088,0.00018,3.38293,144.056,9.69471,0.054901,0.004901,0.004901
4,26.0892,1.4553,1.54819,1.43745,0.41778,0.31143,0.13446,0.05167,2.39383,29.2899,4.82644,0.039501,0.00650101,0.00650101
5,32.063,1.46424,1.48973,1.43655,0.60366,0.06,0.00722,0.00453,2.78927,43.283,4.08332,0.0240674,0.00806736,0.00806736
6,38.0266,1.45464,1.4848,1.4291,0.28604,0.04338,0.02195,0.00744,2.39102,8.15842,3.19972,0.009505,0.009505,0.009505
7,43.9932,1.4243,1.4158,1.40413,0.39426,0.10336,0.07291,0.02397,2.37375,23.8198,2.75986,0.009406,0.009406,0.009406
8,49.9352,1.41403,1.3734,1.39416,0.18814,0.30571,0.08591,0.03639,2.2436,6.41494,2.707,0.009307,0.009307,0.009307
9,55.8793,1.38502,1.33575,1.38543,0.40496,0.18284,0.16866,0.07263,2.02177,4.3652,2.33569,0.009208,0.009208,0.009208
10,61.8458,1.37109,1.3151,1.3813,0.53132,0.41565,0.39825,0.24332,1.81584,4.0083,2.05224,0.009109,0.009109,0.009109
11,67.7942,1.35289,1.27614,1.36866,0.61155,0.39003,0.50512,0.25732,1.64374,3.23095,1.86789,0.00901,0.00901,0.00901
12,73.7344,1.32726,1.24549,1.35821,0.39468,0.65502,0.59238,0.37679,1.56549,1.95717,1.63489,0.008911,0.008911,0.008911
13,79.6803,1.3391,1.25178,1.35815,0.72582,0.31259,0.40805,0.25008,1.6326,2.27247,1.7619,0.008812,0.008812,0.008812
14,85.6207,1.31671,1.20979,1.34617,0.40115,0.52827,0.48852,0.29276,1.6017,2.57837,1.7853,0.008713,0.008713,0.008713
15,91.5739,1.29229,1.18173,1.32861,0.48998,0.70044,0.61972,0.41864,1.4747,1.89921,1.59172,0.008614,0.008614,0.008614
16,97.5284,1.28592,1.1712,1.32922,0.55048,0.58116,0.5545,0.34901,1.74775,2.08559,1.85384,0.008515,0.008515,0.008515
17,103.458,1.28411,1.15507,1.32241,0.77684,0.72216,0.79778,0.51793,1.3026,1.22583,1.44829,0.008416,0.008416,0.008416
18,109.4,1.26097,1.13117,1.30418,0.72734,0.80165,0.89834,0.59738,1.28164,1.04552,1.38679,0.008317,0.008317,0.008317
19,115.322,1.25248,1.1007,1.29504,0.70764,0.82067,0.84253,0.58591,1.17799,1.33217,1.3799,0.008218,0.008218,0.008218
20,121.256,1.25449,1.10636,1.29886,0.90651,0.67564,0.83033,0.55197,1.34315,1.03152,1.4566,0.008119,0.008119,0.008119
21,127.197,1.25234,1.08033,1.30104,0.80688,0.66013,0.8107,0.58951,1.16504,1.09824,1.33331,0.00802,0.00802,0.00802
22,133.122,1.23154,1.05229,1.289,0.83893,0.68557,0.84676,0.56224,1.19019,0.93465,1.33749,0.007921,0.007921,0.007921
23,139.09,1.21851,1.04826,1.27693,0.70547,0.76801,0.8591,0.58894,1.25797,1.11924,1.38281,0.007822,0.007822,0.007822
24,145.019,1.22845,1.06197,1.28696,0.70689,0.78544,0.87533,0.6138,1.24751,0.9584,1.4087,0.007723,0.007723,0.007723
25,150.96,1.20801,1.03275,1.27799,0.82504,0.71467,0.83312,0.60661,1.24858,0.97678,1.33411,0.007624,0.007624,0.007624
26,156.898,1.20551,1.02368,1.27298,0.72003,0.84178,0.85811,0.61243,1.2274,0.97258,1.35613,0.007525,0.007525,0.007525
27,162.83,1.19494,1.01414,1.26962,0.93406,0.72566,0.88798,0.62145,1.26963,0.79871,1.35431,0.007426,0.007426,0.007426
28,168.785,1.18186,0.98208,1.2573,0.66026,0.69389,0.75226,0.47709,1.473,1.55807,1.56513,0.007327,0.007327,0.007327
29,174.722,1.18732,0.99095,1.2574,0.83082,0.649,0.79341,0.54525,1.32631,1.02165,1.4176,0.007228,0.007228,0.007228
30,180.639,1.18118,0.97967,1.25773,0.70544,0.78963,0.83239,0.594,1.17578,1.09906,1.33915,0.007129,0.007129,0.007129
31,186.57,1.18114,0.97655,1.25491,0.76464,0.74347,0.88026,0.66191,1.11007,0.86702,1.27876,0.00703,0.00703,0.00703
32,192.498,1.17646,0.9538,1.25048,0.7584,0.73491,0.84646,0.60325,1.25965,0.96435,1.37318,0.006931,0.006931,0.006931
33,198.403,1.16782,0.95056,1.24338,0.74257,0.86961,0.88905,0.65409,1.1583,0.83416,1.3023,0.006832,0.006832,0.006832
34,204.314,1.16738,0.9526,1.24524,0.90071,0.69391,0.85527,0.64663,1.15326,0.82309,1.30116,0.006733,0.006733,0.006733
35,210.232,1.1478,0.94065,1.23698,0.81081,0.80401,0.87817,0.63163,1.11449,0.79238,1.27087,0.006634,0.006634,0.006634
36,216.138,1.14681,0.93706,1.23794,0.84054,0.77327,0.90209,0.6717,1.16379,0.71751,1.31158,0.006535,0.006535,0.006535
37,222.066,1.15167,0.93487,1.24012,0.84042,0.73763,0.83587,0.61157,1.24106,0.87667,1.34919,0.006436,0.006436,0.006436
38,228.003,1.14433,0.92274,1.23027,0.875,0.63125,0.82561,0.56554,1.15364,0.913,1.31019,0.006337,0.006337,0.006337
39,233.933,1.13457,0.90954,1.22349,0.71333,0.73264,0.7821,0.58988,1.15284,0.99822,1.30483,0.006238,0.006238,0.006238
40,239.863,1.12352,0.9125,1.22125,0.83997,0.72439,0.85126,0.61622,1.19321,0.83921,1.3113,0.006139,0.006139,0.006139
41,245.802,1.12907,0.90711,1.22312,0.71531,0.85462,0.89497,0.67449,1.19281,0.77649,1.3197,0.00604,0.00604,0.00604
42,251.742,1.11227,0.89644,1.21209,0.76611,0.89355,0.89972,0.66398,1.20272,0.74072,1.31555,0.005941,0.005941,0.005941
43,257.68,1.10812,0.86803,1.20283,0.83684,0.73797,0.86623,0.66587,1.17354,0.77367,1.28143,0.005842,0.005842,0.005842
44,263.605,1.11285,0.87974,1.20279,0.77199,0.83452,0.85386,0.6385,1.12566,0.74693,1.28222,0.005743,0.005743,0.005743
45,269.541,1.10823,0.87743,1.20425,0.81023,0.81579,0.88317,0.67758,1.12261,0.86848,1.29303,0.005644,0.005644,0.005644
46,275.474,1.10707,0.87561,1.21008,0.7233,0.82181,0.86937,0.64062,1.16739,0.77141,1.30065,0.005545,0.005545,0.005545
47,281.416,1.10526,0.85654,1.20223,0.76531,0.81196,0.85241,0.63774,1.1865,0.81766,1.34919,0.005446,0.005446,0.005446
48,287.359,1.09441,0.86722,1.1986,0.89174,0.80861,0.9015,0.65236,1.13424,0.73834,1.28586,0.005347,0.005347,0.005347
49,293.285,1.09312,0.86009,1.19758,0.79847,0.76867,0.90617,0.65628,1.13874,0.7675,1.29476,0.005248,0.005248,0.005248
50,299.22,1.09314,0.83741,1.19468,0.7462,0.83943,0.85877,0.63413,1.16374,0.72261,1.31408,0.005149,0.005149,0.005149
51,305.153,1.0906,0.84111,1.19483,0.76545,0.83937,0.87199,0.6569,1.11546,0.73767,1.29709,0.00505,0.00505,0.00505
52,311.083,1.08368,0.83685,1.19373,0.8302,0.83276,0.8937,0.65093,1.13101,0.71702,1.2933,0.004951,0.004951,0.004951
53,317.01,1.07933,0.83613,1.1906,0.80818,0.84056,0.88302,0.66688,1.09731,0.69427,1.27134,0.004852,0.004852,0.004852
54,322.947,1.07026,0.81849,1.18325,0.81277,0.80032,0.88535,0.67623,1.0943,0.79885,1.27472,0.004753,0.004753,0.004753
55,328.898,1.06791,0.81094,1.18058,0.844,0.77282,0.89006,0.63453,1.11128,0.75966,1.26737,0.004654,0.004654,0.004654
56,334.833,1.05542,0.80857,1.17679,0.8234,0.77507,0.86667,0.63968,1.10655,0.7832,1.25312,0.004555,0.004555,0.004555
57,340.785,1.05035,0.78229,1.17226,0.75448,0.81994,0.90068,0.66587,1.10806,0.69171,1.2717,0.004456,0.004456,0.004456
58,346.71,1.05888,0.81116,1.17497,0.82792,0.7929,0.88829,0.6633,1.1034,0.75063,1.27511,0.004357,0.004357,0.004357
59,352.628,1.05384,0.79867,1.17764,0.7815,0.80413,0.89616,0.66641,1.14099,0.73391,1.2614,0.004258,0.004258,0.004258
60,358.571,1.05349,0.79067,1.16851,0.90593,0.7482,0.85337,0.62594,1.11503,0.7876,1.27127,0.004159,0.004159,0.004159
61,364.512,1.04873,0.7816,1.16708,0.77241,0.77587,0.85382,0.64101,1.08801,0.8587,1.22888,0.00406,0.00406,0.00406
62,370.45,1.04793,0.78687,1.17041,0.76349,0.88427,0.90484,0.67313,1.11733,0.72447,1.30221,0.003961,0.003961,0.003961
63,376.366,1.0378,0.77614,1.16603,0.82449,0.81477,0.85942,0.65668,1.07838,0.70765,1.22495,0.003862,0.003862,0.003862
64,382.3,1.03,0.77228,1.16089,0.86821,0.7674,0.9009,0.65398,1.13876,0.72883,1.32113,0.003763,0.003763,0.003763
65,388.237,1.0243,0.76069,1.15937,0.81584,0.83228,0.88141,0.65166,1.13486,0.71359,1.30372,0.003664,0.003664,0.003664
